YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,ALLSKY_KT,ALLSKY_NKT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2001,1,1,3.96,5.1,9.25,0.56,0.75,385.37,74.98,95.79,9.91,0.25,1.34
2001,1,2,4.08,5.02,5.84,0.58,0.77,387.06,77.61,95.27,10.02,0.25,1.32
2001,1,3,4.26,5.02,5.41,0.6,0.8,374.74,81.59,96.27,10.49,0.27,1.41
2001,1,4,4.71,4.99,6.81,0.66,0.88,373.55,89.23,94.96,11.22,0.28,1.45
2001,1,5,4.35,4.89,7.3,0.61,0.81,386.34,83.45,93.87,10.61,0.27,1.4
2001,1,6,2.38,4.75,7.71,0.34,0.45,426.15,48.51,92.95,6.91,0.18,0.98
2001,1,7,2.73,4.83,4.99,0.38,0.51,428.88,54.91,95.16,7.7,0.2,1.07
2001,1,8,2.28,4.84,8.12,0.31,0.42,429.55,46.86,95.57,6.83,0.18,0.98
2001,1,9,3.25,4.88,6.7,0.45,0.6,422.88,64.92,96.43,8.9,0.23,1.25
2001,1,10,1.95,4.85,8.3,0.27,0.36,422.45,40.35,94.98,5.95,0.16,0.87
2001,1,11,3.16,4.94,6.27,0.44,0.58,413.5,63.68,97.53,8.77,0.23,1.25
2001,1,12,2.53,4.93,7.45,0.34,0.46,415.96,52.02,97.43,7.52,0.2,1.12
2001,1,13,4.88,4.99,6.51,0.67,0.88,389.37,92.53,95.23,11.5,0.29,1.49
2001,1,14,2.13,4.61,10.44,0.29,0.38,405.6,42.13,86.19,5.87,0.16,0.83
2001,1,15,2.97,4.77,10.18,0.41,0.53,399.26,56.81,88.96,7.76,0.2,1.12
2001,1,16,2.61,4.89,10.16,0.35,0.47,400.55,51.26,92.76,7.16,0.19,1.02
2001,1,17,4.36,5.04,8.85,0.59,0.77,376.26,82.67,95.24,10.62,0.29,1.57
2001,1,18,4.68,5.23,7.39,0.62,0.83,378.3,89.54,100.12,11.45,0.31,1.69
2001,1,19,4.51,5.19,7.7,0.6,0.8,386.45,87.34,100.42,11.31,0.32,1.74
2001,1,20,5,5.21,6.01,0.66,0.88,381.18,96.2,100.7,12.13,0.34,1.79
2001,1,21,4.61,5.21,8,0.61,0.8,384.85,89.26,101.07,11.5,0.33,1.77
2001,1,22,3.68,5.11,6.42,0.48,0.64,401.97,72.49,100.98,9.63,0.27,-999
2001,1,23,4.89,5.22,5.62,0.64,0.84,392.82,95.11,102.01,12.1,0.33,1.73
2001,1,24,5.12,5.31,7.55,0.67,0.88,392.19,99.46,103.79,12.65,0.34,1.81
2001,1,25,5.28,5.27,5.27,0.69,0.9,396.6,101.95,102.72,12.76,0.34,1.73
2001,1,26,3.2,5.21,3.83,0.41,0.54,416.87,64.27,102.01,8.88,0.23,1.28
2001,1,27,1.26,4.96,8.62,0.16,0.21,423.95,27.05,95.18,4.16,0.12,0.64
2001,1,28,2.45,5.03,7.88,0.31,0.41,424.48,49.66,96.05,7.11,0.2,1.03
2001,1,29,2.19,5.19,9.91,0.28,0.37,412.2,44.88,99.55,6.5,0.18,0.97
2001,1,30,3.57,5.27,7.68,0.45,0.59,410.46,69.7,100.59,9.43,0.26,1.41
2001,1,31,3.08,5.32,6.73,0.39,0.51,417.69,61.13,103.91,8.6,0.24,1.3
2001,2,1,2.11,5.36,9.15,0.27,0.34,417.47,43.73,104.8,6.49,0.2,1.05
2001,2,2,3.86,4.73,8.38,0.48,0.62,393.97,73,87.8,9.31,0.25,1.35
2001,2,3,4.63,5.39,6.84,0.58,0.74,402.46,89.77,103.8,11.72,0.32,1.7
2001,2,4,4,5.57,5.41,0.5,0.64,409.15,78.27,107.78,10.51,0.28,1.52
2001,2,5,4.76,5.66,6.16,0.59,0.76,395.13,92.7,109.09,12.14,0.34,1.88
2001,2,6,3.11,5.66,5.69,0.38,0.49,405.7,62.46,108.62,8.77,0.25,1.37
2001,2,7,4.08,5.64,5.38,0.5,0.64,411.45,79.29,108.73,10.55,0.3,1.66
2001,2,8,2.39,5.42,11.51,0.29,0.38,417.08,49.52,104.66,7.2,0.21,1.12
2001,2,9,2.06,5.2,10.07,0.25,0.32,421.38,42.74,99.61,6.27,0.18,0.96
2001,2,10,1.73,5.49,7.09,0.21,0.27,426.55,36.59,107.02,5.54,0.16,0.84
2001,2,11,3.76,5.68,7.98,0.45,0.57,420.32,75.2,111.56,10.45,0.3,1.65
2001,2,12,4.76,5.83,5.88,0.57,0.72,407.96,93.52,113.73,12.48,0.36,1.92
2001,2,13,3.8,5.84,7.16,0.45,0.57,409.64,74.7,113.23,10.43,0.3,1.61
