YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2001,1,1,22.85,17.27,20.06,25.94,1.16,23.6,22.44,12.15,70.69,0.27
2001,1,2,24.03,17.55,20.79,26.17,1.15,24.44,23.3,12.39,67,0.29
2001,1,3,24.85,18.32,21.58,26.26,1.09,25.43,24.34,13,66.94,0.14
2001,1,4,25.06,18.73,21.9,26.3,0.52,25.29,24.76,13.31,67.81,0.13
2001,1,5,25.25,20.46,22.85,26.35,1,25.71,24.71,14.83,74.75,0.27
2001,1,6,25.48,22.26,23.87,26.08,0.34,25.65,25.32,16.6,82.25,0.92
2001,1,7,25.51,23.48,24.5,25.73,0.56,25.87,25.31,17.94,88.44,2.17
2001,1,8,24.91,22.85,23.88,25.37,0.7,25.38,24.69,17.27,88.25,1.36
2001,1,9,25.13,22.99,24.06,25.15,0.4,25.31,24.91,17.46,87.81,0.89
2001,1,10,24.73,21.87,23.3,25.18,0.44,25.06,24.62,16.3,84.06,0.49
2001,1,11,24.61,22.08,23.34,25.35,0.48,24.83,24.35,16.48,85.75,2.02
2001,1,12,24.94,21.69,23.31,26.01,0.95,25.44,24.48,16.05,82,1.13
2001,1,13,25.11,21.08,23.09,26.55,1.08,25.44,24.35,15.5,78.31,0.88
2001,1,14,23.54,18.69,21.12,26.68,0.88,24.15,23.27,13.31,74.12,1.45
2001,1,15,22.98,17.86,20.42,26.33,0.6,23.37,22.77,12.57,72.81,1.57
2001,1,16,22.67,17.83,20.26,25.98,0.27,22.85,22.58,12.51,74.06,1.49
2001,1,17,23.08,17.54,20.31,25.76,0.68,23.42,22.75,12.27,70.88,0.19
2001,1,18,23.6,18.37,20.98,25.61,1.09,24.15,23.05,13,72.38,0
2001,1,19,24.76,20.14,22.45,25.92,1.14,25.31,24.17,14.53,75.38,0.12
2001,1,20,25.36,21,23.18,26.29,0.59,25.58,24.99,15.32,76.69,0.19
2001,1,21,24.87,20.99,22.94,26.46,0.16,24.96,24.8,15.38,78.94,0.07
2001,1,22,25.61,21.99,23.8,26.5,1.23,26.2,24.96,16.36,80.31,0.22
2001,1,23,26.26,22.23,24.24,26.75,0.21,26.37,26.16,16.6,78.38,0.18
2001,1,24,26.23,22.58,24.4,26.98,0.72,26.65,25.93,16.97,80.25,0.38
2001,1,25,26.56,23.16,24.87,27.1,0.55,26.8,26.25,17.64,81.5,0.22
2001,1,26,25.73,23.18,24.45,27.01,1.18,26.13,24.95,17.64,85.69,1.39
2001,1,27,24.53,21.2,22.87,26.85,0.86,25.07,24.21,15.56,81.69,0.72
2001,1,28,24.77,21.36,23.07,26.66,0.58,24.99,24.41,15.75,81.25,1.25
2001,1,29,23.69,20.2,21.94,26.49,1.37,24.61,23.24,14.65,80.75,1.09
2001,1,30,24.19,20.3,22.24,26.23,0.83,24.61,23.78,14.71,78.81,1.27
2001,1,31,24.88,21.55,23.22,25.85,0.69,25.26,24.57,15.99,81.69,4.99
2001,2,1,24.12,21.21,22.66,25.82,1.37,24.64,23.27,15.69,83.75,6.39
2001,2,2,23.55,19.47,21.51,26.01,1,24.15,23.15,13.98,77.75,0.57
2001,2,3,24.83,20.91,22.87,26.01,1.18,25.3,24.13,15.32,78.75,0.36
2001,2,4,25.52,21.72,23.62,25.97,0.73,25.9,25.16,16.11,79.44,0.41
2001,2,5,25.21,21.19,23.2,26.02,0.34,25.43,25.08,15.56,78.31,0.08
2001,2,6,25.37,20.94,23.15,26.07,0.59,25.71,25.12,15.38,76.44,0.23
2001,2,7,25.03,22.15,23.59,26.05,0.77,25.4,24.63,16.54,83.94,1.63
2001,2,8,24.11,20.6,22.35,26.01,1.65,25.26,23.61,15.01,80.69,8.93
2001,2,9,24.55,21.26,22.91,26.05,1.46,25.44,23.98,15.62,81.81,5.58
2001,2,10,25.52,22.35,23.94,25.69,0.77,25.83,25.06,16.72,82.56,7.69
2001,2,11,25.6,22.9,24.25,25.56,1.02,26.13,25.11,17.33,85,2.06
2001,2,12,26.08,22.27,24.18,25.82,0.74,26.32,25.58,16.66,79.44,0.44
2001,2,13,24.99,21.65,23.32,25.91,1.24,25.59,24.35,16.05,81.69,1.35
2001,2,14,22.65,18.5,20.58,25.87,1.97,24.12,22.15,13.12,77.25,2.61
2001,2,15,22.8,17.37,20.08,25.88,1.55,23.54,21.99,12.21,71.44,1.49
2001,2,16,23.67,17.45,20.56,25.59,0.63,23.94,23.3,12.21,68.06,3.12
2001,2,17,23.8,17.58,20.69,25.2,0.73,24.13,23.4,12.39,68.12,0.86
2001,2,18,23.73,19.52,21.62,24.91,0.41,23.98,23.56,14.04,77.25,0.2
2001,2,19,24.22,21.41,22.82,24.92,0.49,24.46,23.97,15.81,84.19,2.32
2001,2,20,24.89,21.88,23.39,25.22,0.82,25.21,24.39,16.3,83.31,2.11
2001,2,21,25.37,23.14,24.26,25.51,0.7,25.69,24.99,17.58,87.38,8.72
2001,2,22,25.26,23.98,24.62,25.37,0.45,25.41,24.97,18.55,92.38,17.87
