YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
2001,1,1,101.45,10.85,12.82,8.37,4.45,12,14.45,9.08,5.36
2001,1,2,101.48,6.59,8.09,5.3,2.79,7.02,8.74,5.55,3.19
2001,1,3,101.48,6.1,7.2,5.34,1.87,6.52,7.8,5.66,2.14
2001,1,4,101.6,7.85,8.45,6.91,1.53,8.55,9.24,7.47,1.77
2001,1,5,101.62,8.48,9.32,7.66,1.66,9.39,10.48,8.35,2.13
2001,1,6,101.45,9.06,9.97,7.99,1.98,10.2,11.23,8.98,2.25
2001,1,7,101.17,5.77,7.99,3.02,4.97,6.4,8.98,3.23,5.75
2001,1,8,101.11,9.62,10.84,6.85,3.98,10.83,12.21,7.62,4.59
2001,1,9,101.13,7.88,9.36,7.02,2.34,8.93,10.74,7.79,2.95
2001,1,10,101.1,9.83,12.23,7.43,4.8,11.11,14.01,8.21,5.8
2001,1,11,101.1,7.27,10.05,5.24,4.8,7.98,11.24,5.63,5.61
2001,1,12,101.28,8.7,9.94,5.64,4.3,9.62,11.11,6.05,5.06
2001,1,13,101.29,7.52,11.45,2.55,8.9,8.18,12.66,2.61,10.05
2001,1,14,101.71,12.39,13.28,11.55,1.74,13.71,14.8,12.74,2.05
2001,1,15,102.02,12.04,12.9,11.23,1.66,13.29,14.32,12.3,2.02
2001,1,16,102.18,12.02,12.6,11.58,1.02,13.27,13.98,12.74,1.25
2001,1,17,102.1,10.36,11.47,9.26,2.21,11.37,12.66,10.1,2.55
2001,1,18,101.89,8.54,9.61,7.32,2.3,9.29,10.53,7.91,2.62
2001,1,19,101.8,8.98,9.7,7.84,1.86,9.93,10.78,8.62,2.16
2001,1,20,101.62,6.89,7.58,6.24,1.33,7.48,8.29,6.73,1.55
2001,1,21,101.47,9.34,10.14,6.95,3.19,10.32,11.27,7.52,3.76
2001,1,22,101.3,7.41,9.06,6.25,2.81,8.12,10,6.84,3.16
2001,1,23,101.38,6.45,8.57,5.42,3.16,7.06,9.53,5.87,3.66
2001,1,24,101.26,8.85,10.2,7.58,2.62,9.88,11.59,8.33,3.27
2001,1,25,100.98,6.07,9.55,2.2,7.34,6.7,10.8,2.3,8.51
2001,1,26,101.06,4.28,7.11,1.89,5.22,4.55,7.62,1.98,5.65
2001,1,27,101.41,10.11,11.68,5.68,6,11.1,12.94,6.05,6.88
2001,1,28,101.43,9.17,9.85,8.02,1.84,10.02,10.79,8.7,2.1
2001,1,29,101.59,11.74,13.85,9.74,4.12,12.99,15.51,10.67,4.84
2001,1,30,101.48,8.91,10.47,7.06,3.41,9.75,11.53,7.62,3.91
2001,1,31,101.17,7.8,8.64,6.16,2.48,8.59,9.58,6.62,2.95
2001,2,1,100.99,10.84,12.41,6.09,6.32,12.09,14.08,6.53,7.55
2001,2,2,101.25,9.77,10.9,8.87,2.03,10.66,12.01,9.59,2.41
2001,2,3,101.25,7.91,8.84,7,1.84,8.64,9.63,7.63,2
2001,2,4,101.28,6.2,7.36,5.09,2.27,6.74,8.08,5.48,2.59
2001,2,5,101.3,7.08,7.67,6.73,0.95,7.73,8.4,7.33,1.08
2001,2,6,101.18,6.51,7.7,5.41,2.29,7.09,8.5,5.81,2.69
2001,2,7,101.22,6.14,9.16,5.03,4.13,6.66,10.22,5.34,4.88
2001,2,8,101.4,13.88,16.23,9.8,6.43,15.81,18.58,10.98,7.6
2001,2,9,101.39,12.02,13.73,9.95,3.79,13.62,15.66,11.26,4.4
2001,2,10,101.27,8.34,9.8,6.62,3.18,9.4,11.09,7.41,3.68
2001,2,11,101.33,9.49,10.51,8.62,1.88,10.9,12.13,10.09,2.04
2001,2,12,101.31,6.88,8.48,5.98,2.5,7.82,9.95,6.61,3.34
2001,2,13,101.3,8.36,10.38,5.53,4.84,9.23,11.48,5.99,5.49
2001,2,14,101.71,12.4,13.26,10.54,2.72,13.76,14.77,11.65,3.12
2001,2,15,101.95,11.65,13.04,10.23,2.8,12.88,14.48,11.23,3.25
2001,2,16,102.03,12.48,14.05,10.77,3.27,14.05,16.05,11.91,4.14
2001,2,17,101.85,11.64,13.49,10.23,3.27,13.09,15.34,11.41,3.91
2001,2,18,101.53,9.22,9.87,8.65,1.22,10.2,10.97,9.51,1.46
2001,2,19,101.37,11.07,12.07,9.49,2.58,12.59,13.84,10.62,3.22
2001,2,20,101.28,11.45,11.91,10.63,1.28,13.13,13.65,12.19,1.46
2001,2,21,101.12,8.72,10.37,7.01,3.36,9.94,11.85,7.98,3.87
2001,2,22,101.04,8.33,9.09,7.39,1.7,9.53,10.48,8.53,1.95
2001,2,23,100.92,6.15,7.35,3.8,3.55,7.05,8.41,4.11,4.3
2001,2,24,101.06,6.41,13.8,3.55,10.25,7.2,15.8,3.82,11.98
2001,2,25,101.56,14.24,15.41,12.88,2.53,16.23,17.62,14.59,3.04
2001,2,26,101.64,11.04,12.58,9.72,2.86,12.5,14.23,10.92,3.3
2001,2,27,101.63,9.26,10.81,7.53,3.27,10.68,12.43,8.74,3.69
2001,2,28,101.42,5.47,7.26,2.29,4.97,6.63,8.41,3.3,5.12
2001,3,1,101.49,7.96,11.65,0.59,11.06,9.04,13.13,0.7,12.44
2001,3,2,101.76,11.12,12.8,9.39,3.41,12.43,14.41,10.37,4.05
2001,3,3,101.64,6.38,9.26,4.21,5.04,6.91,10.21,4.46,5.74
2001,3,4,101.7,9.51,12.29,4.59,7.7,10.55,13.78,4.88,8.91
2001,3,5,101.69,10.45,11.86,8.66,3.2,11.53,13.13,9.48,3.66
2001,3,6,101.55,7.54,8.31,7.12,1.2,8.27,9.08,7.7,1.38
2001,3,7,101.45,6.05,7.67,4.96,2.71,6.68,8.53,5.45,3.09
2001,3,8,101.74,11.97,13.61,8.52,5.09,13.46,15.38,9.5,5.88
2001,3,9,101.96,12.15,12.88,10.37,2.51,13.57,14.46,11.45,3.01
2001,3,10,101.79,8.95,10.11,8.57,1.54,9.82,11.14,9.41,1.74
2001,3,11,101.61,6.39,8.58,4.39,4.19,6.93,9.45,4.66,4.78
2001,3,12,101.61,9.35,14.39,4.01,10.38,10.37,16.29,4.21,12.08
